16x9: video, television, YouTube, widescreen monitors
4x3: retro television, projectors, older video games
4x1: banners, background pictures, panoramas
1x1: social media posts, profile pictures, square graphics
3x2: photography, DSLR images, print media
2x1: cinematic banners, wide panoramas, split screens
21x9: ultra-wide monitors, cinematic videos, gaming setups
5x4: traditional photography, older monitors, document printing
9x16: vertical videos, Instagram stories, TikTok, mobile filming
32x9: super ultra-wide monitors, immersive gaming, trading dashboards
18x9: modern smartphones, mobile videos, social media content
3x1: triple screen setups, banners, wide advertisements
7x5: fine art photography, greeting cards, medium format prints
16x10: widescreen laptops, design work, productivity monitors
11x8.5: US letter paper landscape, presentations, printable layouts
